Case,Session,DV,Phase,Time,Time_CTR,Time_PhaseCTR
1,1,157,0,1,-4,0
1,2,123,0,2,-3,0
1,3,71,0,3,-2,0
1,4,94,0,4,-1,0
1,5,208,1,5,0,-1
1,6,226,1,6,1,0
1,7,265,1,7,2,1
