Case,Session,DV,Phase,Time,Time_CTR,Time_PhaseCTR
1,1,77.27,0,1,-3,0
1,2,74.29,0,2,-2,0
1,3,77.5,0,3,-1,0
1,4,75.96,1,4,0,-1
1,5,81.35,1,5,1,0
1,6,79.51,1,6,2,1
2,1,89.81,0,1,-4,0
2,2,82.93,0,2,-3,0
2,3,87.32,0,3,-2,0
2,4,85.11,0,4,-1,0
2,5,88.94,1,5,0,-1
2,6,85.84,1,6,1,0
2,7,95.09,1,7,2,1
3,1,57.58,0,1,-5,0
3,2,61.11,0,2,-4,0
3,3,56.41,0,3,-3,0
3,4,51.85,0,4,-2,0
3,5,54.17,0,5,-1,0
3,6,60,1,6,0,-1
3,7,70.79,1,7,1,0
3,8,72,1,8,2,1
