Case,Session,DV,Phase,Time,Time_CTR,Time_PhaseCTR
1,1,44,0,1,-3,0
1,2,35,0,2,-2,0
1,3,40,0,3,-1,0
1,4,104,1,4,0,-1
1,5,118,1,5,1,0
1,6,122,1,6,2,1
